| Topic | Questions | Level |
|-------|-----------|-------|
| Array | Search an Element in an array | Easy |
| Array | Check if two arrays are equal or not | Easy |
| Array | Missing element of AP | Easy |
| Array | Cyclically rotate an array by one | Easy |
| Array | Find minimum and maximum element in an array | Easy |
| Array | Binary Array Sorting | Easy |
| Array | Move all negative elements to end | Easy |
| Array | Missing number | Easy |
| Array | Search Element in Matrix | Easy |
| Array | Find the fine | Easy |
| Array | Greater on right side | Easy |
| Array | Remove duplicate elements from sorted Array | Easy |
| Array | Subarray with given sum | Easy |
| Array | Sort an array of 0s, 1s and 2s | Easy |
| Array | Equilibrium Point | Easy |
| Array | Peak element | Easy |
| Array | Find Transition Point | Easy |
| Array | Alternate positive and negative numbers | Easy |
| Array | Union of Two Sorted Arrays | Easy |
| Array | Three way partitioning | Easy |
| Array | Frogs and Jumps | Easy |
| Array | Min Subsets with Consecutive Numbers | Easy |
| Array | Find Missing And Repeating | Medium |
| Array | Rearrange Array Alternately | Medium |
| Array | Pythagorean Triplet | Medium |
| Array | Rearrange an array with O(1) extra space | Medium |
| Array | Count triplets with sum smaller than X | Medium |
| Array | Boolean Matrix | Medium |
| Array | Row with max 1s | Medium |
| Array | Container With Most Water | Medium |
| Array | Maximum Triplet product | Medium |
| Array | Coins of Geekland | Medium |
| Array | Next Permutation | Medium |
| Array | Rotate Image | Medium |
| Array | Count Primes | Medium |
| Array | Watering Plants | Medium |
| Array | Arithmetic Subarrays | Medium |
| Array | Majority Element | Medium |
| Array | Max Circular Subarray Sum | Hard |
| Array | Count the subarrays having product less than k | Hard |
| Array | Maximum subset XOR | Hard |
| Array | Next Smallest Palindrome | Hard |
| Array | Count the number of subarrays | Hard |
| Array | Largest rectangle of 1s with swapping of columns allowed | Hard |
| Array | N/3 Repeat Number | Hard |
| String | Reverse a String | Easy |
| String | Check if strings are rotations of each other or not | Easy |
| String | Maximum Occuring Character | Easy |
| String | Binary String | Easy |
| String | Anagram of String | Easy |
| String | Merge two strings | Easy |
| String | Reverse words in a given string | Easy |
| String | Palindrome String | Easy |
| String | Longest Common Prefix in an Array | Easy |
| String | Roman Number to Integer | Easy |
| String | Length of Last Word | Easy |
| String | Longest Distinct characters in string | Easy |
| String | Remove all duplicates from a given string | Easy |
| String | Min Number of Flips | Easy |
| String | Meta Strings | Easy |
| String | Smallest window containing 0, 1 and 2 | Easy |
| String | Generate Grey Code Sequences | Easy |
| String | Sum of two large numbers | Medium |
| String | Length of the longest substring | Medium |
| String | Longest Prefix Suffix | Medium |
| String | Smallest distinct window | Medium |
| String | Case-specific Sorting of Strings | Medium |
| String | Excel Sheet | Part - 1 | Medium |
| String | Transform String | Medium |
| String | Remove and Reverse | Medium |
| String | String formation from substring | Medium |
| String | Minimum Days | Medium |
| String | Remove Consecutive Characters | Medium |
| String | Bulls and Cows | Medium |
| String | Atoi | Medium |
| String | Valid Ip Addresses | Hard |
| String | Integer To Roman | Hard |
| String | Minimum characters to be added at front to make string palindrome | Hard |
| String | Wildcard string matching | Hard |
| String | Longest Palindromic Substring in Linear Time | Hard |
| String | Numbers with one absolute difference | Hard |
| String | Stringoholics | Hard |
| String | Power of 2 | Hard |
| String | Justified Text | Hard |
| Searching and Sorting | Searching an element in a sorted array | Easy |
| Searching and Sorting | Last index of One | Easy |
| Searching and Sorting | Count the Zeros | Easy |
| Searching and Sorting | Elements in the Range | Easy |
| Searching and Sorting | Bubble Sort | Easy |
| Searching and Sorting | Insertion Sort | Easy |
| Searching and Sorting | First and last occurrences of X | Easy |
| Searching and Sorting | Count zeros in a sorted matrix | Easy |
| Searching and Sorting | Array Subset of another array | Easy |
| Searching and Sorting | Selection Sort | Easy |
| Searching and Sorting | Floor in a Sorted Array | Easy |
| Searching and Sorting | Radix Sort | Easy |
| Searching and Sorting | Search in a matrix | Easy |
| Searching and Sorting | Bitonic Point | Easy |
| Searching and Sorting | Two Repeated Elements | Easy |
| Searching and Sorting | Count More than n/k Occurences | Easy |
| Searching and Sorting | Number and the Digit Sum | Easy |
| Searching and Sorting | Find triplets with zero sum | Easy |
| Searching and Sorting | Sort The Array | Easy |
| Searching and Sorting | Sort in specific order | Easy |
| Searching and Sorting | Sort a String | Easy |
| Searching and Sorting | Triplet Family | Easy |
| Searching and Sorting | Merge and Sort | Easy |
| Searching and Sorting | Merging two unsorted arrays in sorted order | Easy |
| Searching and Sorting | Rope Cutting | Easy |
| Searching and Sorting | Make array elements unique | Easy |
| Searching and Sorting | Kth smallest element | Medium |
| Searching and Sorting | Smallest Positive missing number | Medium |
| Searching and Sorting | Sort an array according to the other | Medium |
| Searching and Sorting | Square root of a number | Medium |
| Searching and Sorting | Search in a row-column sorted Matrix | Medium |
| Searching and Sorting | Smallest factorial number | Medium |
| Searching and Sorting | Merge Sort | Medium |
| Searching and Sorting | Quick Sort | Medium |
| Searching and Sorting | Count Inversions | Medium |
| Searching and Sorting | Find All Four Sum Numbers | Medium |
| Searching and Sorting | Minimum Swaps to Sort | Medium |
| Searching and Sorting | Number of pairs | Medium |
| Searching and Sorting | Sort an Array | Medium |
| Searching and Sorting | Sorting Elements of an Array by Frequency | Medium |
| Searching and Sorting | Overlapping Intervals | Medium |
| Searching and Sorting | Find minimum number of Laptops required | Medium |
| Searching and Sorting | LCP | Medium |
| Searching and Sorting | Reach a Number | Medium |
| Searching and Sorting | Heaters | Medium |
| Searching and Sorting | Friends Of Appropriate Ages | Medium |
| Searching and Sorting | Koko Eating Bananas | Medium |
| Searching and Sorting | 3Sum | Medium |
